Name,subtask_reference_id
"AA - Unfair, Deceptive, or Abusive Acts or Practices (UDAAP)",
Acquire the latest SOC 2 report from all of your organization's critical suppliers and/or conduct an assessment of all critical suppliers.,84ff9b7d-2735-430f-ac62-f7d2f540bdab
"Add the new vendor to your organization's <a href=""https://app.heylaika.com/vendors"" target=""blank"">Vendor List</a> and complete the fields listed under the ""Assessments"" tab.",736a3541-afee-4f13-96c8-4c6970535851
Advertising & Marketing,
"Appoint a Data Protection Officer with responsiblities defined in the <a href=""https://app.heylaika.com/policies"" target=""blank"">EU Data Compliance policy</a> ",829de06f-e665-4bbb-a5ec-aed950ec1328
B - ECOA - Equal Credit Opportunity Act,
back up your management,
CAN-SPAM - Controlling the Assault of Non-solicited Pornography and Marketing (CAN-SPAM),
Complaint Handling,
"Complete an <a href=""https://app.heylaika.com/documents"" target=""blank"">employee offboarding checklist</a>.",e4c54c08-eabc-4c9f-a624-80bc36f154ff
"Complete the <a href=""https://app.heylaika.com/documents"" target=""blank"">Contractor Onboarding Checklist</a> for the contractors if they are in a critical function.",0ea54349-91f8-4f0f-b4ae-8317c4190ebc
"Conduct a background check. For more information and a list of recommended vendors, see How-to Guide.",e8e20bbf-dcdf-4cf8-a0c1-cfa2d092586d
"Conduct a Business Continuity Plan (BCP) Test (<a href=""https://app.heylaika.com/documents"" target=""blank"">Business Continuity Plan Test</a>). The Test assesses the adequacy of your organization's BCPDR Plan in simulated disaster situations.",14929598-1a89-40de-9788-c5f2f1fe34f4
Conduct a Data Protection Impact Assessement through the Privacy Committee. See the How to Guide for further details,ee103aab-a34f-45f6-96fe-a9edf2326ad6
Conduct a Risk Assessment and continue to monitor risk health.,9eba9cd2-2235-4e4d-9dde-e92f7f2dcbcc
"Conduct a third-party penetration test. For more information, please refer to the <a href=""https://app.heylaika.com/documents"" target=""blank"">Penetration Testing Procedure Template</a>.",25214a06-c546-4290-9e11-32161af02066
Conduct a third-party port scan and upload the results. More info and vendor recommendations see How-to Guide.,25214a06-c546-4290-9e11-32161af02066
"Conduct and pass a PCI compliant Vulnerability Scan every quarter. The scans should be completed by a PCI SSC Approved Scanning Vendor (ASV). Laika recommends (<a href=""https://www.mcafeesecure.com/pci-compliance"" target=""blank"">McAfee Secure</a>) for your company's ASV vendor. Upload scan results to this subtask once completed.",d5ce1c55-fbbf-4150-9c84-c05aa709e2ee
"Conduct and Upload the Business Continuity Plan (BCP) Tests (<a href=""https://app.heylaika.com/documents"" target=""blank"">Business Continuity Plan Test</a>). The Tests assess the adequacy of the BCPDR Plan in simulated disaster situations.",14929598-1a89-40de-9788-c5f2f1fe34f4
"Conduct and Upload the Business Continuity Plan (BCP) Tests (<a href=""https://app.heylaika.com/documents"" target=""blank"">Business Continuity Plan Test</a>). The Tests assess the adequacy of the BCPDR Plan in simulated disaster situations. As a part of this test, perform a backup restoration test and formally document the results to ensure backups can be relied upon in an emergency.",14929598-1a89-40de-9788-c5f2f1fe34f4
"Conduct background checks for the contractors if they are in a critical function (for example, if they have access to customer data).",8795d013-2417-477a-907a-e260bddf5c8d
Conduct employee background checks on all contractors that are in critical functions.,8795d013-2417-477a-907a-e260bddf5c8d
"Conduct, document, and have the Risk Management Committee upload and review an annual Business Impact Analysis (BIA). See the Resources tab for futher details. ",27d5aac6-41b9-40fa-9820-489ebd8dc514
